GRIN_Accession,mean_observation_value
PI587848,36.7
PI548193,32.5
PI507429,35.45
PI612725,37.1
PI91559,34.8
PI70453,35.1
PI70456,35.1
PI587846A,40.1
PI583364,36.95
PI602452,35.2
PI68788,35.3
PI599299,38.46666666666667
PI86021,35.4
PI483462A,40.05
PI592907A,37.3
PI608438,38.03333333333333
PI70457,35.6
PI92705,35.6
PI79862-1,35.6
PI88479,38.55
PI91171,35.7
PI92583,39.0
PI548490,40.7
PI70021,38.45
PI86089,38.599999999999994
PI92589,35.8
PI79848,35.9
PI184045,40.3
PI79745,36.0
PI592958,38.05
PI88352,36.1
PI92598,36.1
PI92607,36.1
PI92611,36.1
PI536637,41.36666666666667
PI266085A,36.1
PI70241,39.5
PI70478,36.2
PI92603,37.7
PI92627,36.2
PI153311,36.2
PI518676,38.55
PI612724,37.7
PI70503,39.15
PI79747,36.3
PI92563,36.3
PI79885,39.05
PI88803,36.4
PI92734,36.4
PI70463,36.5
PI88298,38.5
PI88357,40.15
PI92630,36.5
PI483463,41.3
PI612723,37.8
PI70459,36.6
PI153242,42.25
PI597430B,36.6
PI612722,37.900000000000006
PI73583,36.7
PI88777,39.25
PI92639,36.7
PI253650A,41.650000000000006
PI253653D,36.7
PI253658B,36.95
PI79703,39.55
PI88468,39.55
PI91115,39.75
PI153227,36.8
PI184043,36.8
PI507430,36.8
PI81029N,39.5
PI83945-3,36.8
PI266806B,36.8
PI438446A,36.8
PI612735,37.9
PI614833,39.300000000000004
PI54873,36.9
PI69507,36.9
PI69991,36.9
PI70089,36.9
PI86454,36.9
PI89059,38.599999999999994
PI89154,37.8
PI92109,36.9
PI153255,40.5
PI153279,36.9
PI153280,39.599999999999994
PI189890,36.9
PI227324,36.9
PI261474,41.2
PI88293A,38.9
PI253658A,36.9
PI266085B,36.9
PI266806A,38.95
PI266807A,36.9
PI68795,37.0
PI69992,37.0
PI70016,39.55
PI79613,37.0
PI86069,39.6
PI86113,37.0
PI91104,38.95
PI91114,37.0
PI91161,37.0
PI153294,37.0
PI189892,39.8
PI361121,39.1
PI91732-1,37.0
PI597440C,38.4
PI69533,37.1
PI79695,37.1
PI79773,37.1
PI84921,39.0
PI84964,40.25
PI88309,39.900000000000006
PI91107,39.7
PI91164,37.1
PI92468,37.1
PI92684,37.1
PI153215,37.1
PI153266,38.25
PI184044,37.1
PI189958,37.1
PI205085,42.900000000000006
PI227329,37.1
PI248401,40.25
PI251585,37.1
PI261472,37.1
PI253650B,37.1
PI253652C,37.1
PI253653C,37.1
PI253658C,37.1
PI616498,38.150000000000006
PI65338,37.2
PI65346,40.0
PI68465,37.2
PI68770,37.2
PI68815,37.2
PI72341,37.2
PI84668,37.2
PI87524,37.2
PI92460,37.2
PI153274,37.2
PI153283,37.2
PI184042,37.2
PI189967,37.2
PI243545,37.2
PI248400,37.2
PI248410,37.2
PI79870-1,37.2
PI88805-4,37.2
PI597439,38.45
PI69501,37.3
PI81033,37.3
PI86031,37.3
PI88313,37.3
PI91124,39.0
PI91167,37.3
PI92660,37.3
PI153276,37.3
PI548557,37.65
PI587744,40.4
PI612764,38.45
PI71161,37.4
PI79609,37.4
PI88495,39.15
PI90180,37.4
PI90575,39.599999999999994
PI91120,40.15
PI189881,37.4
PI533605,37.4
PI86878-2,37.4
PI248509A,37.4
PI266085C,37.4
PI603380,38.55
PI597397A,38.599999999999994
PI612716,38.65
PI69503,37.5
PI70009,39.0
PI70036,39.45
PI70077,39.55
PI87628,37.5
PI88296,37.5
PI89008,37.5
PI91102,37.5
PI92576,37.5
PI92629,37.5
PI96188,37.5
PI153264,39.5
PI154195,37.5
PI189918,40.95
PI248397,37.5
PI248407,37.5
PI548563,40.36666666666667
PI89065-2,41.65
PI603400,38.5
PI54865,37.6
PI70027,37.6
PI70242,37.6
PI71850,37.6
