GRIN_Accession,mean_observation_value
PI407039,10.0
PI407049,10.0
PI407064,10.0
PI407067,10.0
PI407081,10.0
PI407084,10.0
PI407123,10.0
PI407132,10.0
PI407136,10.0
PI407159,10.0
PI407290,10.95
PI407317,10.0
PI424011,10.0
PI424116,11.2
PI424125,10.0
PI464867,10.05
PI468917,10.75
PI468918,10.85
PI507611,10.0
PI507641,10.0
PI507642,10.0
PI507651,10.0
PI507748,10.0
PI507772,10.0
PI518282,10.0
PI522180,10.0
PI549019,10.45
PI562532,10.0
PI562553,10.0
PI562561,10.0
PI423990A,11.2
PI424081A,10.0
PI424128B,10.0
PI464871B,9.55
PI504287A,10.0
PI507614B,10.0
PI507806A,10.0
PI522182A,10.0
PI522196A,10.0
PI522207B,10.0
PI522214B,10.0
PI612758B,10.0
PI326579,12.0
PI342434,10.1
PI407022,10.1
PI407052,10.1
PI407115,10.1
PI407130,10.1
PI407135,10.1
PI407200,11.1
PI407202,10.1
PI407233,10.1
PI407262,10.1
PI407292,10.5
PI407297,9.35
PI424080,10.1
PI447004,10.399999999999999
PI464870,10.0
PI507599,10.1
PI507610,10.1
PI507617,10.1
PI507626,10.1
PI507640,10.1
PI507654,10.1
PI507796,10.1
PI507809,10.1
PI507820,10.1
PI549018,10.1
PI424006A,9.55
PI424054A,10.1
PI424127B,10.1
PI458540A,9.649999999999999
PI464868B,10.2
PI464871C,10.35
PI464927C,10.0
PI468399B,10.399999999999999
PI468400B,10.6
PI522230B,10.1
PI171441,10.2
PI378691,10.2
PI398595,12.25
PI407041,10.2
PI407056,10.2
PI407089,10.2
PI407111,10.2
PI407127,10.2
PI407172,10.2
PI407204,10.2
PI407293,10.649999999999999
PI424005,11.399999999999999
PI507643,10.2
PI507662,10.2
PI507726,10.2
PI507777,10.2
PI326582A,10.75
PI423999A,10.7
PI423999B,10.899999999999999
PI424085A,10.2
PI440913B,10.5
PI458539B,10.7
PI458540C,9.75
PI464868A,9.35
PI464929A,9.95
PI468397A,11.95
PI507614A,10.2
PI189866,12.600000000000001
PI407043,10.3
PI407048,10.3
PI407063,10.3
PI407065,10.3
PI407098,10.3
PI407141,10.3
PI407168,10.3
PI407188,10.3
PI407190,10.3
PI407247,10.3
PI407289,9.9
PI407294,9.5
PI407299,9.600000000000001
PI407320,10.05
PI408063,13.05
PI464892,10.95
PI479768,10.0
PI507618,10.3
PI507744,10.3
PI507776,10.3
PI507804,10.3
PI522217,10.3
PI424070A,10.3
PI458537A,10.95
PI458540B,9.850000000000001
PI464866A,9.600000000000001
PI464869A,9.95
PI522205A,10.3
PI407037,10.4
PI407054,10.4
PI407073,10.4
PI407085,10.4
PI407095,10.4
PI407153,10.4
PI407156,10.4
PI407157,10.4
PI407169,10.4
PI407206,10.4
PI407265,10.4
PI407279,10.4
PI407295,10.65
PI407301,10.4
PI424002,10.95
PI424049,10.4
PI424056,10.4
PI424073,10.4
PI424126,10.4
PI479747,9.55
PI507615,10.4
PI507620,10.4
PI507634,10.4
PI507636,10.4
PI507658,10.4
PI507727,10.4
PI522221,10.4
PI522222,10.4
PI522233,10.4
PI522234,10.4
PI549032,10.4
PI378693A,10.4
PI464866B,9.7
PI464927B,10.75
PI483460A,11.45
PI507594B,10.4
PI507619A,10.4
PI522200B,10.4
PI522208B,10.4
PI522211B,10.4
PI538411B,10.4
PI578313B,11.9
PI578318E,12.7
PI407066,10.5
PI407112,10.5
PI407117,10.5
PI407119,10.5
PI407152,10.5
PI407160,10.5
PI407252,10.5
PI407256,10.5
PI423995,10.85
PI424003,10.75
PI424030,10.5
PI424042,10.5
PI424044,10.5
PI424122,10.5
PI458535,10.1
PI458538,11.25
PI464928,10.15
PI483463,12.25
PI487430,10.5
PI507623,10.5
PI507646,10.5
PI507734,10.5
PI507762,10.5
PI507764,10.5
PI522181,10.5
PI522216,10.5
PI562559,10.5
PI342622B,9.65
PI424051B,10.1
PI440913A,9.8
PI464925C,10.15
PI468397B,12.1
PI479746A,9.65
PI507619C,10.5
PI522219A,10.5
PI612760,12.75
PI326581,9.399999999999999
PI406684,9.649999999999999
PI407025,10.6
PI407026,10.6
PI407075,10.6
PI407099,10.6
PI407122,10.6
PI407131,10.6
PI407186,10.6
PI407191,10.6
PI407237,10.6
PI407242,10.6
PI407269,10.6
PI407278,12.0
PI407281,10.6
PI407291,10.6
PI407303,10.6
PI407308,10.6
PI424040,10.6
PI424058,10.6
PI424108,10.6
PI424113,10.6
PI424130,10.6
PI437670,10.6
PI479745,11.0
PI504289,10.6
PI507588,10.6
PI507607,10.6
PI507630,10.6
PI507656,10.6
PI507769,10.6
PI507778,10.6
PI507785,10.6
PI507794,10.6
PI507798,10.6
PI507803,10.6
PI518281,10.6
PI522203,10.6
PI522204,10.6
PI562556,10.6
PI326582B,10.2
PI342618A,10.149999999999999
PI378701B,10.6
PI424027A,10.6
PI424039B,10.6
PI424046A,10.6
PI424128A,10.6
PI458537B,11.0
PI464889A,9.899999999999999
PI464891B,9.649999999999999
PI468400A,11.45
PI483460C,11.6
PI507739A,10.6
PI378694,10.7
PI391587,10.05
PI407020,10.7
PI407078,10.7
PI407094,10.7
PI407096,10.7
PI407106,10.7
PI407114,10.7
PI407139,10.7
PI407249,10.7
PI407296,9.85
PI407300,10.7
PI407322,10.7
PI423997,10.95
PI424050,10.7
PI468907,12.1
PI507606,10.7
PI507632,10.7
PI507639,10.7
PI507648,10.7
PI507667,10.7
PI507761,10.7
PI522197,10.7
PI522201,10.7
PI522218,10.7
PI378697B,10.7
PI378697A,10.7
PI424017A,10.7
PI424038A,12.149999999999999
PI464927A,10.8
PI479746B,10.0
PI507739B,10.7
PI522219B,10.7
PI522230C,10.7
PI532453B,10.7
PI549035A,10.7
PI578344B,10.7
PI578344A,10.7
PI603146,10.7
PI349647,10.8
PI366122,8.8
PI378690,10.8
PI378700,10.8
PI407068,10.8
PI407121,10.8
PI407158,10.8
PI407162,10.100000000000001
PI407201,10.8
PI407219,10.8
PI407280,10.8
PI424069,10.8
PI424110,10.8
PI486220,10.8
PI507580,10.8
PI507583,10.8
PI507585,10.8
PI507587,10.8
PI507612,10.8
PI507624,10.8
PI507629,10.8
PI507645,10.8
PI507663,10.8
PI507728,10.8
PI507732,10.8
PI507745,10.8
PI507771,10.8
PI507775,10.8
PI507784,10.8
PI507799,10.8
PI508063,10.8
PI508067,10.8
PI562548,10.8
PI423990B,9.5
PI424004A,10.0
PI424004B,9.95
PI424043A,10.8
PI424076A,10.8
PI424099A,10.8
PI464890B,9.95
PI483462B,12.25
PI507590B,10.8
PI175199,10.9
PI203246,10.9
PI339734,10.9
PI407110,10.9
PI407147,10.9
PI407203,10.9
PI407209,11.5
PI407215,10.9
PI407227,10.9
PI407232,10.9
PI407263,10.9
PI407298,10.100000000000001
PI407304,10.9
PI423991,10.0
PI423993,10.95
PI424041,10.9
PI424047,10.9
PI424048,10.9
PI424082,10.9
PI424433,10.9
PI479769,9.05
PI483461,9.95
PI483466,10.9
PI507616,10.9
PI507622,10.9
PI507631,10.9
PI507731,10.9
PI507742,10.9
PI507758,10.9
PI507770,10.9
PI507783,10.9
PI514674,10.9
PI522215,10.9
PI522223,10.9
PI549034,10.9
PI562549,10.9
PI342620A,10.0
PI423989A,10.9
PI424020A,10.9
PI424022A,10.9
PI424025B,10.9
PI424039A,10.9
PI424072B,10.9
PI424085B,10.9
PI458540D,10.100000000000001
PI464936B,10.9
PI522205B,10.9
PI522220A,10.9
PI578338A,10.9
PI378683,11.0
PI407023,11.0
PI407024,11.0
PI407071,11.0
PI407134,11.0
PI407138,11.0
PI407148,11.0
PI407187,11.0
PI407192,11.0
PI407248,11.0
PI407255,11.0
PI407286,11.0
PI423988,11.4
PI423996,10.45
PI423998,11.25
PI424000,10.2
PI424055,11.0
PI424093,11.0
PI424097,11.0
PI468909,11.55
PI507582,11.0
PI507791,11.0
PI507793,11.0
PI507836,11.0
PI532449,11.0
PI424072A,11.0
PI483464B,12.55
PI504287B,11.0
PI507830B,11.0
PI522194A,11.0
PI522212B,11.0
PI522231A,11.0
PI532452B,11.0
PI532453A,11.0
PI538411A,11.0
PI603516,11.0
PI398592,11.1
PI398597,13.399999999999999
PI407079,11.1
PI407154,11.1
PI407163,11.1
PI407182,10.149999999999999
PI407211,11.1
PI407235,11.1
PI407244,11.1
PI407250,11.1
PI407264,11.1
PI407302,11.1
PI424018,11.1
PI424019,11.1
PI424053,11.1
PI424060,11.1
PI438426,12.899999999999999
PI464926,11.649999999999999
PI468130,11.1
PI507589,11.1
PI507635,11.1
PI507665,11.1
PI507750,11.1
PI507790,11.1
PI507833,11.1
PI522202,11.1
PI562533,11.1
PI562551,11.1
PI562557,11.1
PI578345,11.1
PI424020B,11.1
PI424109A,11.1
PI464936A,11.1
PI522224A,11.1
PI165583,11.2
PI174860,11.2
PI175187,11.2
PI175194,11.2
PI175196,11.2
PI239235,11.2
PI339733,11.2
PI374176,11.2
PI407021,11.2
PI407042,11.2
PI407055,11.2
PI407069,11.2
PI407113,11.2
PI407118,11.2
PI407120,11.2
PI407140,11.2
PI407150,11.2
PI407164,11.2
PI407165,11.2
PI407180,11.2
PI407222,11.2
PI407273,11.2
PI407284,11.2
PI424035,11.2
PI424037,11.2
PI424094,11.2
PI424111,11.2
PI424112,11.2
PI445683,10.05
PI468916,10.1
PI507597,11.2
PI507633,11.2
PI507650,11.2
PI507668,11.2
PI507774,11.2
PI507797,11.2
PI507837,11.2
PI518283,11.2
PI522206,11.2
PI532451,11.2
PI562546,11.2
PI378686A,11.2
PI423989B,11.6
PI424076B,11.2
PI424100A,11.2
PI458539A,11.3
PI522211C,11.2
PI522214A,11.2
PI522225B,11.2
PI522235C,11.2
PI567406A,14.5
PI612752,13.399999999999999
PI171444,11.3
PI175193,11.3
PI209833,11.3
PI378689,11.3
PI407028,11.3
PI407040,11.3
PI407072,11.3
PI407125,11.3
PI407126,11.3
PI407221,11.3
PI407231,11.3
PI407253,11.3
PI407266,11.3
PI407270,11.3
PI407271,11.3
PI423992,11.3
PI424087,11.3
PI424089,11.3
PI424117,11.3
PI479752,9.4
PI507669,11.3
PI507733,11.3
PI507753,11.3
PI507754,11.3
PI507781,11.3
PI507789,11.3
PI507845,11.3
PI508069,11.3
PI549033,11.3
PI562387,12.05
PI562535,11.3
PI562542,11.3
PI562552,11.3
PI549042B,11.3
PI378695A,11.3
PI424017B,11.3
PI424083A,11.3
PI507725B,11.3
PI507806B,11.3
PI507838B,11.3
PI567043A,11.3
PI578339B,11.3
PI171437,11.4
PI291277,12.55
PI307858,11.4
PI378692,9.2
PI407018,11.4
PI407038,11.4
PI407074,11.4
PI407210,11.4
PI407315,11.4
PI424066,11.4
PI424090,11.4
PI437562,11.4
PI479748,10.5
PI507613,11.4
PI507743,11.4
PI507846,11.4
PI507847,11.4
PI562554,11.4
PI562558,11.4
PI342621C,11.850000000000001
PI424081B,11.4
PI424091A,10.45
PI447003B,11.65
PI464891A,10.25
PI507590A,11.4
PI522198A,11.4
PI522198C,11.4
PI522207A,11.4
PI578338B,11.4
PI612756,11.4
PI612753B,12.95
PI612758A,11.4
PI407030,11.5
PI407035,11.5
PI407036,11.5
PI407161,11.5
PI407170,11.5
PI407185,11.5
PI407208,11.5
PI407212,11.5
PI407218,11.5
PI407226,11.5
PI407240,11.5
PI407245,11.5
PI407254,11.5
PI407260,11.5
PI424012,11.5
PI424052,11.5
PI424088,9.95
PI424092,11.5
PI424095,11.5
PI424129,11.5
PI464934,11.5
PI507649,11.5
PI507660,11.5
PI507719,11.5
PI507721,11.5
PI507722,11.5
PI507730,11.5
PI507763,11.5
PI507786,11.5
PI522195,11.5
PI562536,11.5
PI562539,11.5
PI562540,11.5
PI562560,11.5
PI562564,11.5
PI342621B,11.5
PI424022B,11.5
PI424054B,11.5
PI424070B,11.5
PI424083B,11.5
PI464889B,10.65
PI507818B,11.5
PI522194B,11.5
PI522235A,11.5
PI567054B,11.5
PI567085B,11.5
PI588014C,13.05
PI594662B,11.5
PI174861,11.6
PI175198,11.6
PI339736,11.6
PI398824,11.6
PI407027,11.6
PI407047,11.6
PI407144,11.6
PI407207,11.6
PI407224,11.6
PI407259,11.6
PI407310,11.6
PI424026,11.6
PI424121,11.6
PI464935,11.6
PI468906,12.5
PI507738,11.6
PI507740,11.6
PI507759,11.6
PI507801,11.6
PI522210,11.6
PI567196,11.6
PI578310,11.6
PI339735B,10.399999999999999
PI424021A,11.6
PI424100B,11.6
PI483464A,13.3
PI507723B,11.6
PI507844B,11.6
PI522212A,11.6
PI522224B,11.6
PI522235B,11.6
PI578307C,12.399999999999999
PI578346C,11.6
PI165673,11.7
PI331793,11.7
PI339731,11.7
PI374159,11.7
PI374162,11.7
PI398610,14.049999999999999
PI398614,14.35
PI398983,11.7
PI399102,11.7
PI407045,11.7
PI407058,11.7
PI407077,11.7
PI407166,10.7
PI407193,11.7
PI407198,11.7
PI407199,11.7
PI407234,11.7
PI407241,11.7
PI407283,11.7
PI407287,11.7
PI407766,11.7
PI424010,11.7
PI437708,11.7
PI476935,11.7
PI479750,10.75
PI479751,10.35
PI504286,11.7
PI507581,11.7
PI507621,11.7
PI507666,11.7
PI507720,11.7
PI507735,11.7
PI507736,11.7
PI507780,11.7
PI508060,11.7
PI522184,11.7
PI522199,11.7
PI522227,11.7
PI522232,11.7
PI532450,11.7
PI562538,11.7
PI562545,11.7
PI562550,11.7
PI567644,11.7
PI578341,11.7
PI339871A,11.7
PI424006B,10.3
PI424091B,10.649999999999999
PI424099B,11.7
PI424115A,11.7
PI424127A,11.7
PI479753A,10.75
PI522209A,11.7
PI522231B,11.7
PI603176B,11.7
PI612761A,11.7
PI174862,11.8
PI175176,11.8
PI398434,13.9
PI398602,14.8
PI407019,11.8
PI407044,11.8
PI407046,11.8
PI407057,11.8
PI407174,11.8
PI407236,11.8
PI407238,11.8
PI407239,11.8
PI407268,11.8
PI407321,10.600000000000001
PI424013,11.8
PI424023,11.8
PI424032,10.15
PI424033,10.25
PI424062,11.8
PI424067,10.65
PI424120,11.8
PI441352,11.8
PI468911,10.75
PI479767,10.2
PI507773,11.8
PI507822,11.8
PI509113,11.8
PI578343,11.8
PI549041A,11.8
PI424061A,11.8
PI464889C,10.65
PI468399C,10.5
PI483462A,13.15
PI567336B,13.600000000000001
PI578339A,11.8
PI157413,11.9
PI212604,11.9
PI398603,14.3
PI407179,11.9
PI407229,11.9
PI407257,11.9
PI424028,11.9
PI424105,11.9
PI507017,11.9
PI507747,11.9
PI507807,11.9
PI508066,11.9
PI549039,11.9
PI562541,11.9
PI562543,11.9
PI567230,11.9
PI567343,11.9
PI578337,11.9
PI378687B,11.9
PI378696B,11.9
PI424051A,10.600000000000001
PI424059B,11.9
PI424106A,11.9
PI464890A,10.350000000000001
PI522196B,11.9
PI522198B,11.9
PI522220B,11.9
PI522225A,11.9
PI594761,11.9
PI594751B,11.9
PI612759D,11.9
PI163453,12.0
PI175195,12.0
PI245008,12.0
PI274507,12.0
PI399104,12.0
PI407090,12.0
PI407167,12.0
PI407194,12.0
PI407197,12.0
PI407205,10.75
PI407216,12.0
PI407217,10.45
PI407312,12.0
PI424045,12.0
PI424065,12.0
PI427241,12.0
PI437116,12.0
PI468904,10.75
PI507638,12.0
PI507808,12.0
PI507811,12.0
PI522228,12.0
PI549037,12.0
PI562544,12.0
PI562562,12.0
PI424043B,12.0
PI464939A,12.0
PI464939B,12.0
PI483071A,13.05
PI507830A,12.0
PI532452A,12.0
PI567108A,12.0
PI593983,12.0
PI587634B,12.0
PI567017A,12.0
PI175175,12.1
PI323566,13.95
PI398635,14.8
PI398836,13.45
PI407034,12.1
PI407220,12.1
PI407275,10.649999999999999
PI408056,14.5
PI424016,12.1
PI424036,10.899999999999999
PI468131,12.1
PI507595,12.1
PI507644,12.1
PI507760,12.1
PI522193,12.1
PI562567,12.1
PI578336,12.1
PI549041B,12.1
PI424025C,12.1
PI424046B,12.1
PI424059A,12.1
PI468396B,13.55
PI468398B,12.1
PI522209B,12.1
PI566992B,12.1
PI567027A,15.45
PI594305,12.1
PI594766,13.75
PI578340B,12.1
PI603722,12.1
PI479753C,12.1
PI594505A,12.1
PI594753A,12.1
PI81763,13.45
PI175177,12.2
PI323575,12.2
PI374207,12.2
PI398590,10.7
PI407076,12.2
PI407181,12.2
PI407195,10.45
PI407261,12.2
PI424014,12.2
PI424078,12.2
PI424084,12.2
PI424098,12.2
PI507593,12.2
PI522179,12.2
PI562537,12.2
PI562555,12.2
PI562563,12.2
PI407316B,12.2
PI424008A,12.2
PI424021B,12.2
PI424027B,12.2
PI424061B,12.2
PI424106B,12.2
PI424115B,12.2
PI464929B,9.75
PI567048A,12.2
PI567107A,12.2
PI594656,12.2
PI603497,12.2
PI594751A,14.6
PI612754,13.95
PI398589,10.25
PI407177,12.3
PI407258,12.3
PI407274,12.3
PI407311,12.3
PI423994,11.05
PI424009,12.3
PI424034,10.8
PI424064,12.3
PI424071,10.850000000000001
PI424074,12.3
PI424086,12.3
PI424118,12.3
PI438491,12.3
PI468919,12.9
PI507824,12.3
PI507839,12.3
PI578453,14.75
PI424025A,12.3
PI424102B,12.3
PI468396A,13.850000000000001
PI507800B,12.3
PI567336A,12.3
PI605869A,12.3
PI175190,12.4
PI203398,12.4
PI274506,12.4
PI323579,12.4
PI407137,12.4
PI407223,12.4
PI407276,12.4
PI407319,12.4
PI423886,12.4
PI424015,12.4
PI424068,10.9
PI424304,12.4
PI437662,12.4
PI476919,12.4
PI507259,12.4
PI507592,12.4
PI549036,12.4
PI566961,12.4
PI378699A,12.4
PI407032B,12.4
PI407318A,12.4
PI424114A,12.4
PI588007A,14.399999999999999
PI594475A,15.3
PI594662A,12.4
PI612759A,12.4
PI175189,13.5
PI175192,12.5
PI189950,13.4
PI204333,12.5
PI323562,12.5
PI323578,12.5
PI398678,14.35
PI407033,12.5
PI407178,12.5
PI407196,10.95
PI407306,12.5
PI407307,12.5
PI407313,12.5
PI407314,12.5
PI424029,12.5
PI424077,12.5
PI424124,12.5
PI437783,12.5
PI468910,13.05
PI476882,14.55
PI483465,12.5
PI507821,12.5
PI562547,12.5
PI438440-1,12.5
PI424008B,12.5
PI566992A,14.8
PI567046A,12.5
PI567098A,12.5
PI578350B,12.5
PI578340A,12.5
PI219698,12.6
PI307836,12.6
PI398789,12.6
PI407213,12.6
PI407267,12.6
PI407957,12.6
PI407965,14.850000000000001
PI424079,10.8
PI424101,12.6
PI437935,12.6
