GRIN_Accession,observation_value
FC21340,0
FC30683,0
FC30684,0
FC30692,0
FC32033,0
FC32141,0
PI68722,0
PI79739,0
PI89001,0
PI132204,0
PI132205,0
PI132207,0
PI152361,0
PI153209,0
PI153213,0
PI153233,0
PI153235,0
PI153237,0
PI153239,0
PI153240,0
PI153241,0
PI153242,0
PI153245,0
PI153246,0
PI153249,0
PI153251,0
PI153259,0
PI153261,0
PI153262,0
PI153265,0
PI153270,0
PI153272,0
PI153273,0
PI153275,0
PI153277,0
PI153278,0
PI153281,0
PI153284,0
PI153286,0
PI153300,0
PI153304,0
PI153305,0
PI153306,0
PI153317,0
PI153318,0
PI153319,0
PI153320,0
PI154189,0
PI154191,0
PI154192,0
PI154194,0
PI154196,0
PI161989,0
PI179822,0
PI180501,0
PI180529,0
PI180530,0
PI180532,0
PI181531,0
PI181571,0
PI184047,0
PI189857,0
PI189859,0
PI189861,0
PI189862,0
PI189866,0
PI189870,0
PI189871,0
PI189872,0
PI189873,0
PI189876,0
PI189882,0
PI189883,0
PI189885,0
PI189893,0
PI189894,0
PI189897,0
PI189898,0
PI189899,0
PI189900,0
PI189903,0
PI189904,0
PI189913,0
PI189923,0
PI189938,0
PI189939,0
PI189944,0
PI189950,0
PI189951,0
PI189955,0
PI189960,0
PI189961,0
PI189964,0
PI189965,0
PI194625,0
PI200595,0
PI204652,0
PI227323,0
PI227326,0
PI227330,0
PI227565,0
PI229330,0
PI232899,0
PI232900,0
PI232901,0
PI232902,0
PI232994,0
PI232995,0
PI232996,0
PI238921,0
PI238924,0
PI238925,0
PI243547,0
PI243550,0
PI248395,0
PI248399,0
PI248401,0
PI248403,0
PI248404,0
PI248408,0
PI248512,0
PI257428,0
PI257432,0
PI257433,0
PI257434,0
PI257435,0
PI257436,0
PI257437,0
PI257438,0
PI257439,0
PI258384,0
PI258385,0
PI261469,0
PI261475,0
PI279648,0
PI290114,0
PI290115,0
PI290118,0
PI290119,0
PI290121,0
PI290122,0
PI290125,0
PI290127,0
PI290131,0
PI290132,0
PI290133,0
PI290135,0
PI290136,0
PI290137,0
PI290138,0
PI290139,0
PI290140,0
PI290141,0
PI290142,0
PI290144,0
PI290145,0
PI290148,0
PI290151,0
PI290152,0
PI290154,0
PI290157,0
PI291312,0
PI291313,0
PI291318,0
PI291321,0
PI291325,0
PI291329,0
PI291331,0
PI295947,0
PI295948,0
PI295949,0
PI297499,0
PI297506,0
PI297508,0
PI297509,0
PI297512,0
PI297513,0
PI297516,0
PI297518,0
PI297519,0
PI297520,0
PI297522,0
PI297523,0
PI297525,0
PI297529,0
PI297531,0
PI297532,0
PI297534,0
PI297535,0
PI297540,0
PI297542,0
PI297546,0
PI297547,0
PI297549,0
PI297550,0
PI303650,0
PI317333,0
PI317336,0
PI317337,0
PI319538,0
PI347545,0
PI347548,0
PI347549,0
PI347554,0
PI347555,0
PI347567,0
PI347568,0
PI347570,0
PI358323,0
PI360850,0
PI360952,0
PI361056,0
PI361058,0
PI361060,0
PI361069,0
PI361070,0
PI361082,0
PI361084,0
PI361091,0
PI361094,0
PI361118,0
PI361119,0
PI361120,0
PI361121,0
PI361122,0
PI370056,0
PI370058,0
PI372402,0
PI372407,0
PI372408,0
PI372409,0
PI372413,0
PI372414,0
PI372417,0
PI372419,0
PI372424,0
PI378657,0
PI378658,0
PI378661,0
PI378665,0
PI378673,0
PI391588,0
PI399074,0
PI404162,0
PI407702,0
PI407707,0
PI407709,0
PI407713,0
PI416746,0
PI416845,0
PI416890,0
PI416930,0
PI416964,0
PI416976,0
PI417046,0
PI417078,0
PI417095,0
PI417150,0
PI417187,0
PI417381,0
PI417391,0
PI417446,0
PI417448,0
PI417449,0
PI417450,0
PI417458,0
PI417476,0
PI417478,0
PI417506,0
PI417507,0
PI417508,0
PI417514,0
PI417522,0
PI417523,0
PI417529,0
PI417530,0
PI417533,0
PI417534,0
PI417535,0
PI417538,0
PI417539,0
PI417540,0
PI417541,0
PI417542,0
PI417543,0
PI417545,0
PI417546,0
PI417548,0
PI417550,0
PI417551,0
PI417552,0
PI417553,0
PI417554,0
PI417555,0
PI417557,0
PI417558,0
PI417560,0
PI423714,0
PI423864,0
PI423867,0
